,Mean,Variance,Standard Deviation,Entropy,Skewness,Kurtosis,Contrast,Energy,ASM,Homogeneity,Dissimilarity,Correlation,Coarseness
3202,0.41185730193350273,0.201922741508249,0.43163183657863624,0.1689806591298419,0.009725366712835713,0.000958042965430997,0.016720479864728337,0.3559112901940811,0.14512732420733104,0.5915442986356407,0.10193674851923247,0.9416565499541103,4.0574065865862666e-169
1135,0.2155278245584975,0.4288034220609112,0.6435849359045711,0.008348255521499792,0.09674334543262184,0.01811036694382259,0.041743037106793335,0.052147794123856034,0.006698547598959076,0.26609866667124527,0.20132159109989298,0.9654284884953759,0.0
1501,0.4155646356165392,0.5174182868166028,0.710151653314541,0.036227273814786166,0.04097603793322142,0.00565315008231309,0.05621623806284227,0.14172886826270387,0.02987965217762448,0.39255731613766526,0.1891930008316644,0.9290589269830267,0.0
1301,0.07861875707462512,0.11453406345129487,0.3173993281217515,0.004659163442109971,0.14921766195641514,0.034840841072576526,0.007935132894721269,0.03309354723636272,0.0036711604959224755,0.27304131694866385,0.11575686083404392,0.9215715050221149,0.0
1220,0.3641819202488442,0.21488024469843353,0.44626205999429036,0.2882071894923753,0.017398045731314073,0.002006276768979438,0.03208530044056919,0.4879710461924335,0.25822994733749677,0.6902504813422226,0.0970807316395667,0.9161580256671882,0.0
2048,0.37056955909555306,0.153059097744008,0.3717418720866769,0.17346590602205314,0.006790008845026049,0.0005891372683445688,0.013764532331593441,0.36123594051638624,0.1490671279979523,0.7397832728232494,0.06326350395123613,0.928792013672973,0.0
3275,0.42802932000773153,0.2294342785584257,0.46218078896760956,0.2635905665964143,0.010810416185670475,0.00118690769747286,0.024086323923560332,0.46393578217174014,0.23525755891411898,0.6168628350602372,0.11279593163151717,0.93708040354365,2.2025921470039733e-168
399,0.45355226710103685,0.7753653738254747,0.8766304248691446,0.006293712689617455,0.05144253804034803,0.007560276994119494,0.03330196553199071,0.04216040603748447,0.0050284617207775216,0.3520127072020521,0.18927469257429266,0.9799936201297981,0.0
2909,0.1430381086478381,0.09559302929099751,0.2873289479829333,0.3159634940158855,0.0580463904118532,0.00868794396778005,0.0151118579803855,0.5148616037137074,0.28519054432524554,0.6644322117131383,0.08977768788126425,0.9652936524345472,0.0
2177,0.5451027488657594,0.4596900062778442,0.6675041771535598,0.0640869224963847,0.02936357596815286,0.0043082640614681405,0.0396519547256144,0.20180093102841667,0.05369088982860537,0.4099535807261406,0.19049924628197798,0.9496054813656487,0.0
102,0.34382540515170906,0.229534981736758,0.4622891560898713,0.251270668092332,0.02551000526220886,0.00305764009858694,0.015502214643220028,0.45135658721531413,0.22365813703701656,0.6470291720388477,0.09570282547637785,0.9809763085141388,0.0
3340,0.28549184174926184,0.24410999072169443,0.4777314230485648,0.026281422728198296,0.047441692327264494,0.007111915824122368,0.03196227133946426,0.11477629966049467,0.021352963410461306,0.44092531470480584,0.16309927641002134,0.9299870482058026,3.900078576085983e-168
3131,0.49356772774541596,0.440004582138079,0.652355700123371,0.0016751554054797828,0.036585469484556925,0.005386164672842046,0.03113508550418614,0.014120195881889154,0.001320053164551111,0.2948856225475692,0.19804749356076595,0.942402099202281,0.0
2155,0.34366021552874443,0.17523308347947406,0.39994513005974336,0.2802862330484498,0.017236719101004654,0.0021621363967394185,0.029993558505743048,0.4805538440193926,0.2510274083109157,0.640978227238076,0.1084861029040421,0.8984769206602543,0.0
169,0.4378229019997604,0.3113529653991807,0.543654330951058,0.29037790888450693,0.017146563819844605,0.0018790039227688671,0.03834308114659978,0.4903881645860795,0.2605989683822773,0.6606549840138671,0.14076012014112818,0.9359647263513637,0.0
839,0.28391402777394376,0.4163412760460306,0.633691405346737,0.014388949206732948,0.06656697276780385,0.010774281565691438,0.037458811799182735,0.07712499928402881,0.011678235698762593,0.28070919170133524,0.2229723480037136,0.9668273413438162,0.0
2914,0.08164646659856613,0.13554156654875693,0.34799168572001055,0.0022475601365342475,0.1804258833086701,0.05034082097941631,0.032829859693047296,0.01820875250006182,0.0017707338335959469,0.20656705542728654,0.23253164859450215,0.9742224299064035,0.0
416,0.5111629533511868,0.30348568662226233,0.5363352353934628,0.2464014156626893,0.007919378339437268,0.0007975555079377241,0.028246738874794758,0.446048764983983,0.21885103048881405,0.601140701322104,0.12415028529358176,0.9421018222244748,0.0
3653,0.06358282027921183,0.12592680320787053,0.3343056045401666,0.002842954254173015,0.20642258108410516,0.059231290175254254,0.017516158937633662,0.022179962552283217,0.002237909768751747,0.1803335626924833,0.1801764398618834,0.9289402311720578,1.1799600787521286e-167
3733,0.20196248953185558,0.36745618510894074,0.5933776111492816,0.0012001181830381667,0.09843609458492766,0.018826785780677934,0.019503864315179257,0.01048121030684835,0.0009447852348082274,0.2995337680901174,0.16799744117321933,0.9786460830334183,1.3902827875261922e-167
1305,0.3127329449766709,0.19594730931170565,0.4247278402532703,0.32170683560590135,0.02376815138987768,0.002750080260704094,0.029551779980601333,0.5200704372673707,0.2905666850520045,0.6609513963130349,0.11914083347494521,0.9298128097804956,0.0
2031,0.4456562951510631,0.27378436939005873,0.5078129677215115,0.147736118987398,0.012461513032585587,0.001213631253757494,0.016569617230081855,0.32983064118510985,0.1265829192112651,0.6651195976965356,0.08913950897574982,0.9665503789366197,0.0
